Title,Description,Rent
Wonderful 3500 Sft Semi Furnished Flat Rent at Gulshan North,"Dhaka, Apartment Rentals","Tk 210,000 /month"
Amazing airport facing 2300 sft apartment at prime location of Uttara,"Dhaka, Apartment Rentals","Tk 65,000 /month"
Gorgeous Luxury Decoration Full-Furnished Apartment Rent In Banani,"Dhaka, Apartment Rentals","Tk 170,000 /month"
Beautiful Small Full Furnished Apartment Rent In Banani,"Dhaka, Apartment Rentals","Tk 50,000 /month"
Prime Location Luxury Semi Furnished Apt For Rent In Banani,"Dhaka, Apartment Rentals","Tk 100,000 /month"
Beautiful Fully Furnished Apartment Rent In Gulshan-2,"Dhaka, Apartment Rentals","Tk 120,000 /month"
সদ্য নির্মিত নতুন ফ্যামিলি ফ্ল্যাট ভাড়া হবে।,"Dhaka Division, Apartment Rentals","Tk 13,000 /month"
Apartments rent,"Chattogram, Apartment Rentals","Tk 10,500 /month"
Apartment Rent in Mirpur,"Dhaka, Apartment Rentals","Tk 25,000 /month"
Flat For Rent,"Dhaka, Apartment Rentals","Tk 50,000 /month"
Furnished Apartment Uttara,"Dhaka, Apartment Rentals","Tk 30,000 /month"
পল্টনে ফ্যামিলি ফ্ল্যাট ভাড়া,"Dhaka, Apartment Rentals","Tk 20,000 /month"
ফ্যামিলি বাসা ভাড়া,"Dhaka, Apartment Rentals","Tk 7,000 /month"
নতুন সুযোগ সুবিধা সহ ভাড়া,"Dhaka, Apartment Rentals","Tk 16,000 /month"
Appartment available for rent,"Dhaka, Apartment Rentals","Tk 20,000 /month"
Flat for rent,"Dhaka, Apartment Rentals","Tk 25,000 /month"
4 Beds Baths 3000 sft south Facing exclusive apartment,"Dhaka, Apartment Rentals","Tk 110,000 /month"
Appartment available for rent,"Dhaka, Apartment Rentals","Tk 15,000 /month"
New Bullding 4 Beds Baths 3800 sft Luxury apartment,"Dhaka, Apartment Rentals","Tk 200,000 /month"
Two-bedroom flat in North Baluchor excellent condition!,"Sylhet, Apartment Rentals","Tk 8,000 /month"
Gorgeous furnished flat for rent,"Dhaka, Apartment Rentals","Tk 110,000 /month"
CONCORD FURNISHED APARTMENTS RENT,"Dhaka, Apartment Rentals","Tk 62,000 /month"
1990 SqFt Apartment Rent @ Gulshan,"Dhaka, Apartment Rentals","Tk 65,000 /month"
Un Furnished apt rent In Gulshan,"Dhaka, Apartment Rentals","Tk 91,000 /month"
ROYAL FULL FURNISHED APARTMENT RENT,"Dhaka, Apartment Rentals","Tk 95,000 /month"
Spacious Apartment rental for Family,"Dhaka, Apartment Rentals","Tk 32,000 /month"
Nice Fully Furnished Apt rent In Gulshan,"Dhaka, Apartment Rentals","Tk 76,000 /month"
